CL_NM,TRRSRT_NM,ADDR,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,ENTRN_DE
기타,쉬멍해장국,제주 제주시 구남로4길 8-12,647261245,1,8000,20221201
기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,647842211,2,22400,20221201
테마파크,카멜리아힐,제주 서귀포시 안덕면 병악로 166,647920088,2,15000,20221201
테마파크,스누피가든,제주 제주시 구좌읍 금백조로 930,649031111,3,70500,20221201
레저관광,마라도가는여객선,제주 서귀포시 대정읍 송악관광로 424,647946661,2,34000,20221201
공연전시,노형수퍼마켙,제주특별자치도 제주시 노형로 89,647131888,3,45000,20221201
기타,그림카페,제주 서귀포시 안덕면 녹차분재로 218,647949224,3,29400,20221201
공연전시,테디베어뮤지엄 제주,제주 서귀포시 중문관광로110번길 31,647387600,1,10000,20221201
테마파크,여미지식물원,제주 서귀포시 중문관광로 93,647351100,3,34200,20221201
테마파크,일출랜드,제주 서귀포시 성산읍 중산간동로 4150-30,647842080,7,52500,20221201
키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,647428555,2,49000,20221201
기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,18993929,2,64000,20221201
공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,15222653,3,46000,20221201
레저관광,윈드1947 서바이벌,제주 서귀포시 토평공단로 78-27,647333500,2,41000,20221201
공연전시,아트서커스,제주 서귀포시 안덕면 동광로 214,647944444,2,34600,20221201
레저관광,J1카트클럽,제주 제주시 연북로 424 제이원빌딩,648058060,1,15900,20221201
테마파크,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47,647843838,2,17400,20221201
테마파크,더마파크,제주 제주시 한림읍 월림7길 155,647958080,2,23800,20221201
레저관광,마라도정기여객선(운진항),제주 서귀포시 대정읍 최남단해안로 120,647945490,2,34000,20221201
테마파크,한림공원,제주 제주시 한림읍 한림로 300,647960001,2,22800,20221201
레저관광,제주실탄사격장,제주 서귀포시 소보리당로164번길 62,647397007,1,12000,20221201
기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,647928300,2,20400,20221201
레저관광,제주제트보트(중문점),제주 서귀포시 대포로 172-5,647393939,3,54000,20221201
테마파크,화조원,제주 제주시 애월읍 애원로 804,647999988,3,42500,20221201
공연전시,헬로키티아일랜드,제주 서귀포시 안덕면 한창로 340,647926114,4,44000,20221201
레저관광,서귀포잠수함,제주 서귀포시 남성중로 40,647326060,1,56000,20221201
공연전시,제주해양동물박물관,제주 서귀포시 성산읍 서성일로 689-21,647823711,3,21700,20221201
테마파크,아쿠아플라넷제주 한화,제주 서귀포시 성산읍 섭지코지로 95,18337001,2,82600,20221201
레저관광,포니밸리 낙타테마파크,제주 서귀포시 표선면 번영로 2564-21,647872256,2,13000,20221201
레저관광,서귀포유람선,제주 서귀포시 남성중로 40,647321717,2,32000,20221201
공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,647836700,2,53800,20221201
테마파크,다이나믹메이즈에피소드3,제주 서귀포시 표선면 번영로 2644,647878774,4,72000,20221201
공연전시,피규어뮤지엄,제주 서귀포시 안덕면 한창로 243,647922244,1,10800,20221201
레저관광,세리월드,제주 서귀포시 법환상로2번길 97-13,647398254,4,14000,20221201
공연전시,건강과성박물관,제주 서귀포시 안덕면 일주서로 1611,647925700,2,21000,20221201
레저관광,신흥바다낚시공원,제주 제주시 조천읍 조함해안로 247-2,647838855,1,35000,20221201
테마파크,브릭캠퍼스,제주 제주시 1100로 3047,647121258,2,28800,20221201
기타,메종글래드제주뷔페(삼다정),제주 제주시 노연로 80,647108231,2,111400,20221201
자연,성산일출봉,제주 서귀포시 성산읍 성산리 1,647830959,1,23500,20221201
기타,플레이박스,제주 제주시 은수길 69,647423700,3,22500,20221201
기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,647493370,2,16000,20221201
레저관광,제주레일바이크,제주 제주시 구좌읍 용눈이오름로 641,647830033,4,39200,20221201
테마파크,방림원,제주 제주시 한경면 용금로 864,647730090,1,6000,20221201
기타,맛의고수,제주 제주시 애월읍 애월로 29,647992123,3,36900,20221201
레저관광,산방산유람선,제주 서귀포시 안덕면 화순해안로106번길 16,647921188,5,80000,20221201
기타,위호텔,제주 서귀포시 1100로 453-95,647301200,3,330000,20221201
레저관광,제주바다체험장,제주 제주시 구좌읍 동복리 608-3,647845757,4,35600,20221201
테마파크,제주무민랜드,제주 서귀포시 안덕면 병악로 420,647940420,2,23600,20221201
